,locus,start,end,nbps,nsnps,gene_tree
83,83,0,100000,100000,7867,"((r3:0.009457,(r7:0.009689,r5:0.019003):0.004836):0.002276,r4:0.014857,((r6:0.006783,(r0:0.013859,r1:0.015204):0.006147):0.00293,r2:0.011026):0.007104);"
84,84,0,100000,100000,7579,"(r0:0.015584,((r1:0.017554,r3:0.009452):0.002101,((r6:0.005843,r7:0.011041):0.005943,(r4:0.017344,r5:0.012485):0.002666):0.003464):0.004838,r2:0.012202);"
85,85,0,100000,100000,7110,"((r3:0.006314,r6:0.006537):0.001876,r7:0.012713,((r2:0.007424,(r4:0.014688,r5:0.013373):0.004784):0.005246,(r0:0.011711,r1:0.01336):0.006139):0.001841);"
86,86,0,100000,100000,7703,"((r1:0.013627,r0:0.016078):0.004562,((r4:0.013684,r5:0.015098):0.006113,(r6:0.01135,r3:0.0102):0.002952):0.002536,(r7:0.013437,r2:0.007457):0.004507);"
87,87,0,100000,100000,7185,"(r6:0.011147,r5:0.016033,(((r2:0.005671,r7:0.007391):0.003387,((r1:0.014721,r0:0.012717):0.004523,r3:0.015061):0.002363):0.001978,r4:0.014554):0.004439);"
88,88,0,100000,100000,8015,"((r1:0.017196,r0:0.014571):0.00715,(r6:0.010796,((r5:0.019262,r4:0.014671):0.00351,r7:0.014225):0.004314):0.003381,(r3:0.007949,r2:0.012952):0.005788);"
89,89,0,100000,100000,7321,"(r3:0.008229,r6:0.010441,((r4:0.013609,r5:0.014373):0.006831,((r2:0.008224,(r0:0.012785,r1:0.012938):0.004988):0.003358,r7:0.011803):0.002862):0.002504);"
90,90,0,100000,100000,7246,"((r7:0.006771,(r1:0.010289,r0:0.009762):0.008335):0.002833,(((r5:0.012548,r4:0.012274):0.007966,r6:0.005576):0.003582,r3:0.008584):0.002598,r2:0.012967);"
91,91,0,100000,100000,7539,"(r5:0.014285,((r4:0.01514,r7:0.01054):0.003718,r6:0.008798):0.002917,((r1:0.018976,r0:0.017835):0.004411,(r3:0.004705,r2:0.005229):0.005663):0.004788);"
92,92,0,100000,100000,7690,"(((((r4:0.016226,r5:0.015978):0.003811,r6:0.010058):0.002347,(r1:0.015821,r0:0.011919):0.005092):0.001608,r2:0.009481):0.003585,r7:0.012686,r3:0.006914);"
93,93,0,100000,100000,7482,"(r3:0.009015,(r1:0.01708,r0:0.012848):0.0063,((((r5:0.011792,r4:0.014475):0.006965,r6:0.011438):0.004122,r2:0.012607):0.002701,r7:0.005656):0.004405);"
94,94,0,100000,100000,6621,"((r3:0.005791,(r6:0.009219,r0:0.016616):0.002523):0.00248,r7:0.008656,((r5:0.012541,r4:0.013093):0.004378,(r1:0.013344,r2:0.009121):0.002565):0.00122);"
95,95,0,100000,100000,7538,"(r5:0.013954,(((((r0:0.013605,r1:0.013134):0.007178,r2:0.007366):0.002506,r3:0.011698):0.001781,r7:0.013284):0.002907,r6:0.006569):0.007785,r4:0.014812);"
96,96,0,100000,100000,8535,"((r6:0.013559,(r5:0.019996,(r4:0.020829,r7:0.017566):0.003698):0.003965):0.004672,(r3:0.011803,(r1:0.014308,r0:0.021433):0.005071):0.004487,r2:0.011064);"
97,97,0,100000,100000,7086,"(r3:0.006728,((r0:0.013955,r1:0.013206):0.007334,((r4:0.014439,r5:0.012863):0.00333,(r6:0.00401,r7:0.004758):0.007076):0.001621):0.003009,r2:0.008165);"
98,98,0,100000,100000,7390,"(((r4:0.015237,r5:0.014068):0.003592,r2:0.010769):0.002705,(r6:0.012973,(r3:0.0077,r7:0.009611):0.004357):0.002805,(r1:0.012877,r0:0.01606):0.006486);"
99,99,0,100000,100000,6849,"((r5:0.015112,r4:0.012562):0.004777,(r6:0.010514,(r2:0.007068,(r0:0.011763,r1:0.011219):0.003313):0.003766):0.001972,(r7:0.007702,r3:0.009065):0.002308);"
100,100,0,100000,100000,7266,"((r3:0.008934,(r2:0.011453,r0:0.014151):0.004105):0.003517,r1:0.018068,((r6:0.008459,(r4:0.013773,r5:0.0155):0.005575):0.003856,r7:0.01039):0.003754);"
101,101,0,100000,100000,8328,"(((r6:0.010394,r3:0.008168):0.005595,(r1:0.012307,r0:0.011681):0.007557):0.003084,r2:0.014544,(r7:0.011585,(r5:0.014809,r4:0.014848):0.007047):0.004647);"
102,102,0,100000,100000,7452,"(r3:0.01543,(r5:0.017674,r4:0.01428):0.005018,(((r0:0.014186,r1:0.011812):0.005749,r6:0.007834):0.002034,(r7:0.007694,r2:0.011766):0.004817):0.002731);"
103,103,0,100000,100000,6765,"((r7:0.006749,(r3:0.007492,r6:0.004618):0.002678):0.003462,((r4:0.01506,r5:0.013883):0.002851,(r0:0.012878,r1:0.011814):0.005025):0.002741,r2:0.010053);"
104,104,0,100000,100000,7052,"((((r4:0.010992,r5:0.010271):0.00774,r3:0.013093):0.004562,((r0:0.012231,r1:0.013219):0.004221,r7:0.007975):0.003395):0.002001,r6:0.011897,r2:0.005447);"
105,105,0,100000,100000,7565,"(r0:0.018636,((r6:0.009797,r3:0.005456):0.003558,r1:0.014405):0.003812,((r2:0.011856,(r5:0.016364,r7:0.009378):0.003732):0.001175,r4:0.016697):0.003925);"
106,106,0,100000,100000,7736,"((r1:0.016285,r0:0.016528):0.001923,((r6:0.007413,(r2:0.011327,(r4:0.012569,r5:0.012283):0.004856):0.003321):0.005909,r7:0.015817):0.004527,r3:0.00631);"
107,107,0,100000,100000,7493,"(r0:0.01484,r1:0.012634,((r3:0.011596,((r4:0.012157,r5:0.010936):0.007597,r7:0.010906):0.004902):0.001916,(r6:0.008492,r2:0.009199):0.001748):0.003211);"
108,108,0,100000,100000,7504,"(r3:0.007532,((r4:0.012062,r5:0.015312):0.003189,(r2:0.008299,(r0:0.017187,r1:0.0137):0.008042):0.003592):0.003977,(r6:0.006017,r7:0.007008):0.003802);"
109,109,0,100000,100000,7441,"((r3:0.014428,(r5:0.015574,r4:0.014163):0.002916):0.001877,(r2:0.013038,r6:0.009049):0.004849,(r7:0.01091,(r0:0.01126,r1:0.012247):0.005557):0.004584);"
110,110,0,100000,100000,7328,"((r4:0.013641,r5:0.013316):0.004828,(((r3:0.004565,r2:0.007844):0.005428,(r0:0.012716,r1:0.011972):0.004351):0.002332,r7:0.013336):0.002663,r6:0.010757);"
111,111,0,100000,100000,7769,"((r6:0.00625,r7:0.005883):0.008395,(r0:0.014086,r1:0.015283):0.008016,(r3:0.009389,(r2:0.012333,(r4:0.013682,r5:0.014271):0.005895):0.003606):0.003581);"
112,112,0,100000,100000,7706,"(((r4:0.014147,r5:0.015239):0.005517,r7:0.016064):0.00295,((r0:0.017963,r1:0.015613):0.002696,(r6:0.010102,r3:0.008922):0.003102):0.002935,r2:0.011706);"
113,113,0,100000,100000,7775,"((r7:0.008817,r6:0.011814):0.0037,((r0:0.01602,r1:0.014456):0.005101,(r2:0.009101,r3:0.012097):0.005251):0.001156,(r5:0.018325,r4:0.014822):0.006521);"
114,114,0,100000,100000,7517,"((r3:0.009607,r7:0.01092):0.00338,((r1:0.016206,r0:0.014289):0.005298,((r5:0.013486,r4:0.013658):0.003257,r6:0.009378):0.001772):0.002621,r2:0.01113);"
115,115,0,100000,100000,8199,"(((r5:0.016253,r4:0.013413):0.004822,(r6:0.013532,(r1:0.016622,r0:0.015564):0.005262):0.003349):0.002787,(r7:0.010206,r3:0.016351):0.002838,r2:0.012158);"
116,116,0,100000,100000,7840,"(((r7:0.006209,r3:0.010147):0.004144,r6:0.011675):0.003878,((r2:0.014764,r1:0.016662):0.004847,r0:0.019559):0.002476,(r5:0.01879,r4:0.016094):0.007367);"
117,117,0,100000,100000,7467,"(r6:0.0071,((r0:0.014208,r7:0.011122):0.003233,r1:0.016173):0.002488,(r3:0.011995,((r5:0.017188,r2:0.008971):0.004683,r4:0.017042):0.002366):0.002675);"
118,118,0,100000,100000,7280,"((((r7:0.011798,(r0:0.016288,r1:0.015273):0.003966):0.001628,r3:0.007915):0.001982,(r5:0.011702,r4:0.013394):0.004101):0.004245,r6:0.011048,r2:0.008374);"
119,119,0,100000,100000,6803,"(r2:0.008978,r3:0.006338,(((r1:0.012798,r0:0.014086):0.004738,((r7:0.009379,r5:0.015679):0.002396,r4:0.013364):0.003899):0.002826,r6:0.00855):0.003155);"
120,120,0,100000,100000,6946,"((r1:0.01301,r0:0.013027):0.007276,(r5:0.015035,r4:0.012536):0.003951,(r6:0.004771,(r7:0.006986,(r2:0.014196,r3:0.005542):0.002875):0.002091):0.004141);"
121,121,0,100000,100000,7109,"(r7:0.011847,(r3:0.006624,r1:0.013547):0.002854,(((r5:0.012385,r4:0.01528):0.004752,r2:0.010172):0.002124,(r0:0.019445,r6:0.011692):0.003203):0.004176);"
122,122,0,100000,100000,7061,"((r1:0.012797,r0:0.011742):0.003083,((r7:0.007408,r3:0.004012):0.006641,r6:0.008983):0.003722,(r5:0.013227,(r4:0.015685,r2:0.011204):0.003581):0.003501);"
123,123,0,100000,100000,7879,"((r5:0.015951,r4:0.012469):0.003996,(r0:0.021536,(r2:0.008611,r3:0.009512):0.004349):0.003128,(r1:0.020839,(r7:0.011481,r6:0.007182):0.004657):0.001171);"
124,124,0,100000,100000,6857,"(r6:0.004788,r2:0.008627,(((((r7:0.010345,r3:0.007861):0.003096,r0:0.017169):0.001593,r1:0.014883):0.002618,r5:0.014876):0.003022,r4:0.013445):0.005602);"
