,locus,start,end,nbps,nsnps,gene_tree
75,75,0,100000,100000,12005,"(r6:0.019347,r7:0.02055,((r3:0.0215,(r0:0.016546,r1:0.016207):0.005993):0.002491,(r2:0.021798,(r5:0.016356,r4:0.014706):0.007144):0.001565):0.003102);"
76,76,0,100000,100000,12311,"((r7:0.023217,((r4:0.020873,r5:0.01811):0.004279,(r0:0.018774,r1:0.017318):0.004128):0.002435):0.001348,r3:0.022545,(r6:0.019717,r2:0.020798):0.003261);"
77,77,0,100000,100000,12361,"(((r5:0.019555,r4:0.017801):0.004226,r7:0.021642):0.00252,((r0:0.017367,r1:0.016795):0.006952,(r2:0.022548,r3:0.022381):0.002035):0.001579,r6:0.02042);"
78,78,0,100000,100000,11522,"((r5:0.014344,r4:0.014212):0.006433,((r2:0.019374,r3:0.022121):0.002832,(r7:0.02009,r6:0.021224):0.001837):0.000965,(r1:0.013044,r0:0.014396):0.005913);"
79,79,0,100000,100000,12027,"((r1:0.016069,r0:0.017125):0.007976,r7:0.020723,((r2:0.022283,(r6:0.020496,r3:0.020941):0.00306):0.001189,(r5:0.016607,r4:0.018617):0.004214):0.002001);"
80,80,0,100000,100000,12333,"((r4:0.018743,r5:0.020662):0.003576,(r2:0.020523,r7:0.021734):0.003823,((r0:0.021501,r1:0.019767):0.003669,(r3:0.019142,r6:0.020554):0.001951):0.001258);"
81,81,0,100000,100000,11720,"(((r6:0.020551,(r7:0.017398,r2:0.020439):0.002474):0.002625,r3:0.022798):0.001317,(r5:0.015948,r4:0.01709):0.004681,(r1:0.015511,r0:0.014009):0.008124);"
82,82,0,100000,100000,11741,"(((r4:0.015594,r5:0.016675):0.008334,(r7:0.018474,r6:0.019887):0.002438):0.001643,(r3:0.020726,(r0:0.016158,r1:0.01821):0.004315):0.00115,r2:0.019054);"
83,83,0,100000,100000,11444,"((r1:0.014079,r0:0.014661):0.004476,((r6:0.019754,(r2:0.021587,(r5:0.01736,r4:0.016134):0.004844):0.001365):0.002423,r7:0.018414):0.001486,r3:0.020383);"
84,84,0,100000,100000,12317,"(r0:0.016744,r1:0.017795,((r2:0.021861,r3:0.021275):0.002921,((r6:0.021419,r7:0.02392):0.004608,(r4:0.01452,r5:0.01556):0.007353):0.001281):0.006757);"
85,85,0,100000,100000,12251,"(((r1:0.016652,r0:0.015528):0.009593,r3:0.023015):0.001781,((r5:0.013576,r4:0.016933):0.005899,r6:0.020606):0.003708,(r7:0.023424,r2:0.020898):0.002555);"
86,86,0,100000,100000,11638,"(r3:0.021999,r7:0.021964,((r5:0.014554,r4:0.014997):0.007266,((r0:0.014483,r1:0.013519):0.009725,(r6:0.017962,r2:0.021911):0.002316):0.001173):0.003029);"
87,87,0,100000,100000,11867,"((r3:0.019624,r7:0.019869):0.002438,((r6:0.019802,(r4:0.015655,r5:0.01593):0.004616):0.00155,r2:0.020767):0.001473,(r0:0.016426,r1:0.017636):0.00857);"
88,88,0,100000,100000,11978,"((r6:0.019131,r2:0.021405):0.002028,(r0:0.015159,r1:0.014041):0.008662,(r7:0.022273,((r5:0.016721,r4:0.017745):0.004554,r3:0.022234):0.00112):0.001286);"
89,89,0,100000,100000,11653,"((r7:0.018769,((r3:0.020202,r2:0.020687):0.002417,(r0:0.015878,r1:0.016305):0.004441):0.002634):0.001391,(r5:0.013638,r4:0.012014):0.00788,r6:0.021603);"
90,90,0,100000,100000,12169,"(r7:0.022564,r6:0.021754,(r3:0.020663,((r1:0.015469,r0:0.016841):0.005962,((r4:0.015934,r5:0.014503):0.007582,r2:0.019112):0.00305):0.00086):0.00348);"
91,91,0,100000,100000,12374,"(((r1:0.017405,r0:0.017585):0.007422,r7:0.024321):0.001857,(r5:0.015693,r4:0.018644):0.005324,((r2:0.022738,r3:0.021047):0.003387,r6:0.023291):0.001512);"
92,92,0,100000,100000,12028,"(r1:0.015707,r0:0.016043,((r3:0.019879,(r4:0.018376,r5:0.017284):0.004401):0.002586,((r7:0.021362,r6:0.022819):0.002293,r2:0.02352):0.001365):0.006591);"
93,93,0,100000,100000,11826,"(((r2:0.023931,(r0:0.013631,r1:0.013826):0.007799):0.002029,(r4:0.014821,r5:0.016989):0.006549):0.001509,(r6:0.019913,r3:0.019943):0.002156,r7:0.022411);"
94,94,0,100000,100000,12278,"(r3:0.022004,((r1:0.016813,r0:0.016582):0.006219,(r6:0.020903,r7:0.021034):0.002947):0.001225,(r2:0.021328,(r5:0.019936,r4:0.01731):0.005823):0.002064);"
95,95,0,100000,100000,11769,"(r4:0.017114,r5:0.016426,((r6:0.020395,((r3:0.018598,r7:0.020831):0.002372,r2:0.018187):0.002157):0.001355,(r1:0.018507,r0:0.018545):0.004112):0.004544);"
96,96,0,100000,100000,11868,"(r5:0.018647,r4:0.015811,(r2:0.022211,((r6:0.018632,r7:0.020122):0.001927,(r3:0.022397,(r0:0.014945,r1:0.016478):0.00536):0.001802):0.002343):0.003865);"
97,97,0,100000,100000,11294,"(((r4:0.017266,r3:0.019244):0.002717,r2:0.020029):0.001267,r6:0.01988,(r5:0.019106,(r7:0.019301,(r1:0.012359,r0:0.012132):0.007865):0.003068):0.001393);"
98,98,0,100000,100000,11794,"(((r5:0.017327,r4:0.015787):0.003015,(r7:0.020812,r3:0.018696):0.001211):0.002578,(r6:0.022348,r2:0.019523):0.003028,(r0:0.016162,r1:0.018403):0.005409);"
99,99,0,100000,100000,12356,"(r0:0.020728,r1:0.021538,((r6:0.021591,(r4:0.018901,r5:0.017238):0.005593):0.002455,(r7:0.025559,(r3:0.020523,r2:0.021038):0.003619):0.001222):0.004074);"
100,100,0,100000,100000,11556,"((((r1:0.013836,r0:0.015046):0.006366,r2:0.01967):0.001158,(r6:0.020817,(r4:0.011655,r5:0.014081):0.00867):0.002683):0.002958,r7:0.01798,r3:0.020395);"
101,101,0,100000,100000,11688,"(r3:0.020388,(r5:0.015455,r4:0.01612):0.004728,(((r0:0.017653,r1:0.016597):0.005271,(r7:0.019857,r2:0.020483):0.002099):0.001064,r6:0.021377):0.001284);"
102,102,0,100000,100000,11834,"((r7:0.023029,(r3:0.02049,(r1:0.019952,r0:0.01904):0.004804):0.002467):0.002808,r6:0.021592,(r2:0.020483,(r5:0.015506,r4:0.016389):0.0065):0.001986);"
103,103,0,100000,100000,11728,"(r7:0.02378,(r3:0.020441,(r0:0.016573,r1:0.01448):0.006166):0.001932,((r6:0.0189,r2:0.02144):0.002164,(r5:0.015978,r4:0.014436):0.006432):0.001503);"
104,104,0,100000,100000,11960,"((r2:0.019602,r3:0.022373):0.002829,(r4:0.016338,r5:0.016624):0.008943,(((r1:0.010712,r0:0.010352):0.010189,r6:0.020595):0.002663,r7:0.022132):0.002569);"
105,105,0,100000,100000,11878,"((r7:0.018403,r6:0.021521):0.001928,(r3:0.023473,((r4:0.019159,r5:0.016036):0.005611,(r0:0.016532,r1:0.015685):0.00501):0.003409):0.001162,r2:0.02097);"
106,106,0,100000,100000,11559,"(r5:0.014133,r4:0.014283,(((r7:0.019175,(r3:0.019346,(r0:0.018063,r1:0.018944):0.003422):0.001316):0.001101,r2:0.020074):0.003581,r6:0.020255):0.005298);"
107,107,0,100000,100000,11352,"(((r7:0.019506,r3:0.019177):0.002664,(r5:0.015387,r4:0.016266):0.005194):0.001815,(r6:0.019347,(r1:0.015811,r0:0.018666):0.003449):0.002143,r2:0.01853);"
108,108,0,100000,100000,11329,"((r3:0.020188,(r0:0.017596,r1:0.01533):0.003801):0.001194,((r5:0.014336,r4:0.012232):0.005862,(r6:0.017621,r7:0.019941):0.00201):0.001275,r2:0.022871);"
109,109,0,100000,100000,12192,"(((r2:0.021888,r3:0.021378):0.002852,((r1:0.015759,r0:0.015221):0.00605,(r5:0.016275,r4:0.016712):0.006239):0.002137):0.003502,r7:0.021777,r6:0.020035);"
110,110,0,100000,100000,11248,"(r0:0.016481,r1:0.014694,((r7:0.01791,r2:0.017811):0.001985,((r3:0.019463,r6:0.020982):0.002949,(r5:0.013781,r4:0.015057):0.005828):0.00069):0.003822);"
111,111,0,100000,100000,11527,"((r1:0.012618,r0:0.012478):0.005883,((r7:0.021333,(r6:0.019215,(r4:0.016447,r5:0.017109):0.004602):0.002292):0.00249,r2:0.02323):0.003038,r3:0.017876);"
112,112,0,100000,100000,12263,"((((r3:0.020087,r7:0.026355):0.003089,r6:0.022171):0.002089,(r1:0.016244,r0:0.015476):0.00702):0.003186,(r5:0.016527,r4:0.01709):0.005893,r2:0.022098);"
113,113,0,100000,100000,11295,"((r7:0.019769,r2:0.01999):0.001911,(r1:0.016619,r0:0.01617):0.003958,(((r5:0.015777,r4:0.01808):0.004147,r6:0.022425):0.000881,r3:0.018606):0.001382);"
114,114,0,100000,100000,11031,"(((r5:0.012798,r4:0.015696):0.006478,r7:0.019267):0.001544,((r0:0.013908,r1:0.015576):0.00624,r6:0.017671):0.001835,(r3:0.019769,r2:0.01869):0.001915);"
