1 10000000.0 51 13.56047197640118 3797.0 1  0 0 (r3:0.002223,r4:0.002163,((r7:0.004514,r6:0.003789):0.000732,(r5:0.003732,((r0:0.00232,r1:0.002374):0.00087,r2:0.00293):0.000466):0.000422):0.000483); 2.979400370452434 0.30000000000000004
1 10000000.0 52 13.529509499385972 3732.0 1  0 0 ((((r6:0.003844,r7:0.004475):0.000785,(r3:0.001963,r5:0.003654):0.000478):0.000384,r4:0.002136):0.00052,(r0:0.002516,r1:0.002439):0.000689,r2:0.002858); 2.6681222459933 0.24285714285714288
1 10000000.0 53 13.659799143405701 3582.0 1  0 0 ((r5:0.003685,r4:0.002071):0.00055,(r7:0.004496,r6:0.003755):0.000584,(r3:0.002235,(r2:0.00281,(r0:0.002421,r1:0.002319):0.000788):0.000393):0.00045); 1.7342878726159023 0.11428571428571432
1 10000000.0 54 13.706726523403002 3711.0 1  0 0 ((r5:0.003606,r3:0.002024):0.000499,(r4:0.00229,(r2:0.002696,(r0:0.002408,r1:0.002318):0.000718):0.000541):0.000413,(r6:0.003697,r7:0.004591):0.000697); 2.6681222459933007 0.24285714285714288
1 10000000.0 55 13.710860366713682 3703.0 1  0 0 ((r7:0.004542,r6:0.003616):0.000697,r4:0.002189,((r5:0.003599,r3:0.002081):0.000542,(r2:0.002705,(r0:0.002415,r1:0.002372):0.000654):0.000473):0.000341); 2.5911319941500697 0.24285714285714288
1 10000000.0 56 13.80011875603058 3641.0 1  0 0 (((r4:0.002174,r3:0.002189):0.000578,((r0:0.002407,r1:0.002265):0.000796,r2:0.002913):0.000421):0.000314,r5:0.003739,(r6:0.00377,r7:0.004337):0.000752); 1.8112781244591316 0.12857142857142856
1 10000000.0 57 13.664349989026263 3739.0 1  0 0 ((r5:0.00393,(r7:0.004507,r6:0.003732):0.000677):0.000265,((r1:0.002289,r0:0.00243):0.000767,r2:0.002931):0.000414,(r4:0.002151,r3:0.002188):0.000522); 1.8112781244591325 0.12857142857142856
1 10000000.0 58 13.8393517833358 3631.0 1  0 0 (r3:0.002258,(r2:0.002642,(r0:0.002393,r1:0.002457):0.000819):0.000574,((r4:0.002115,r5:0.003715):0.000549,(r6:0.003868,r7:0.00443):0.000653):0.000377); 1.7342878726159023 0.11428571428571432
1 10000000.0 59 13.864337331446025 3575.0 1  0 0 ((((r1:0.002365,r0:0.002207):0.000639,r2:0.002583):0.000636,r3:0.002147):0.00047,(r7:0.004539,r6:0.003814):0.000743,(r5:0.003741,r4:0.002075):0.000487); 1.7342878726159023 0.11428571428571432
1 10000000.0 5 13.4509461426492 3693.0 1  0 0 (((r7:0.004516,r6:0.003832):0.000807,(r5:0.003517,r3:0.001967):0.000428):0.000413,r4:0.002143,(r2:0.002655,(r0:0.002307,r1:0.002218):0.000846):0.000514); 2.6681222459933007 0.24285714285714288
1 10000000.0 60 13.766282676118742 3736.0 1  0 0 ((r3:0.0022,((r1:0.002383,r0:0.002375):0.000716,r2:0.002822):0.000441):0.000493,((r7:0.004527,r6:0.00375):0.000661,r5:0.003651):0.000371,r4:0.002264); 0.0 0.0
1 10000000.0 61 13.497813729777 3705.0 1  0 0 (((r7:0.004448,r6:0.003774):0.000741,r5:0.003672):0.000252,(r2:0.002719,(r0:0.002387,r1:0.002275):0.000768):0.000506,(r3:0.00198,r4:0.002228):0.000514); 1.8112781244591325 0.12857142857142856
1 10000000.0 62 13.494408649929646 3644.0 1  0 0 ((r5:0.003492,r3:0.002084):0.000461,(r4:0.002046,(r2:0.00263,(r0:0.002248,r1:0.002208):0.000717):0.000584):0.000385,(r6:0.00367,r7:0.00439):0.000723); 2.6681222459933007 0.24285714285714288
