1000 100000.0 3 13.192737849389443 90.714 834 (r5:1,((r6:1,r7:1)1:0.170365345967,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.100709344482)1:0.131250564836)0.56:0.0179761245402)0.44:0.0104818157226):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.297520521452,(r4:1,((r2:1,(r1:1,r0:1)1:0.288681572785)1:0.271824455718,r3:1)0.82:0.0335226920386)0.67:0.0299778460721):0); 0.0 0.0
1000 100000.0 40 13.185175075150237 91.074 804 (r5:1,((r6:1,r7:1)1:0.114392187688,(r4:1,(r3:1,((r0:1,r1:1)1:0.139572150197,r2:1)1:0.151095909832)0.74:0.0268302603676)0.44:0.00745781039413):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.230412664661,((r3:1,(r2:1,(r1:1,r0:1)1:0.33871250639)1:0.313999380769)0.84:0.0352459390617,r4:1)0.77:0.0295918946972):0); 0.0 0.0
1000 100000.0 41 13.144663192215182 91.584 795 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.180365429301)1:0.105527029687,r3:1)0.77:0.0292275217896)0.5:0.0173194492002)1:0.12588268248):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.264184101184)0.89:0.0402602142864,r4:1)0.55:0.0150984247126)1:0.282699501107)1:0.315025548124):0); 0.0 0.0
1000 100000.0 42 13.09024316997049 92.087 815 (r7:1,(r6:1,(r4:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.152753055561)1:0.127626213784,r3:1)0.77:0.0288847038226)0.48:0.0104818157226)1:0.149963653473):0); 0.17556643393915275 0.11428571428571432 (r5:1,((r4:1,(r6:1,r7:1)1:0.218036733216)0.85:0.0398702747221,((r2:1,(r0:1,r1:1)1:0.303998276897)1:0.355355706053,r3:1)0.53:0.021372290141):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 43 13.18356518561951 90.503 821 (r3:1,((r2:1,(r0:1,r1:1)1:0.105027570757)1:0.147833264197,((r5:1,(r6:1,r7:1)1:0.122828208698)0.65:0.0222869794763,r4:1)0.54:0.0152674721308):0); 0.0 0.0 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.259511195485)1:0.34825466432,(r5:1,(r7:1,r6:1)1:0.297924154152)0.81:0.0341685617246)0.43:0.00701757265865):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 44 13.16811753255142 90.639 827 (r0:1,(r1:1,(r2:1,((r4:1,(r6:1,r7:1)1:0.16011247199)0.45:0.00815000436192,(r3:1,r5:1)0.56:0.0159439477189)1:0.174014497807)1:0.124523986619):0); 0.29198726827086396 0.24285714285714288 (r5:1,((r7:1,r6:1)1:0.261455586531,(r4:1,(r3:1,((r1:1,r0:1)1:0.345887046556,r2:1)1:0.300754154019)0.63:0.0239270049768)0.7:0.024972059724):0); 0.0 0.0
1000 100000.0 45 13.203803612900186 90.54 784 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.121473653801)1:0.162930367479)0.39:0.00417119149872)0.76:0.0301708776334)1:0.157653310378,r6:1):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.281507369037,(r4:1,(r3:1,((r0:1,r1:1)1:0.315025548124,r2:1)1:0.351762765766)0.73:0.0291769499871)0.35:0.00112507043557):0); 0.0 0.0
1000 100000.0 46 13.184369643291113 91.12 822 (r6:1,(r7:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.126222645087)1:0.147616132506)0.67:0.0222231367847,(r5:1,r4:1)0.38:0.00387864108393)1:0.142851124573):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r1:1,r0:1)1:0.260677376375,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.304810954715)0.86:0.0381174258947)0.66:0.0215424015644)1:0.283694031274):0); 0.0 0.0
1000 100000.0 47 13.149931419109462 91.382 830 (r2:1,((r0:1,r1:1)1:0.176424890439,(r3:1,((r5:1,r4:1)0.56:0.0161765919329,(r6:1,r7:1)1:0.14653118068)0.6:0.0177642466658)1:0.151967749469):0); 0.19443359141936595 0.11428571428571432 (r1:1,((r2:1,((r3:1,r4:1)0.42:0.0065146810212,(r5:1,(r6:1,r7:1)1:0.244856093245)0.95:0.0479600891966)1:0.295202789775)1:0.306438294374,r0:1):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 48 13.201042611489065 91.346 826 (r7:1,(r6:1,(r5:1,(r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.115400760643)1:0.147616132506)0.44:0.00768848848388)0.82:0.0344270264456)1:0.126562723308):0); 0.1790338045715902 0.12857142857142856 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.217291576698)0.57:0.0188452934787)0.78:0.0302566814002)1:0.30760958267)1:0.303186258988,r1:1):0); 0.0 0.0
