1000 10000.0 45 13.392811436474043 7.591 935 (r0:1,(r1:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.154850225151)0.75:0.0290132467883,r4:1)0.48:0.0115550142726)1:0.146314331498)1:0.113049004142):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,((r5:1,(r7:1,r6:1)1:0.137577410459)0.82:0.0351820395649,(r4:1,r3:1)0.41:0.00858175277198)1:0.151500086167)1:0.156772721894):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 46 13.527633943468311 7.467 936 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.134759490513)1:0.159848700942)0.79:0.0305999701094)0.44:0.0104818157226)1:0.175710094126,r7:1):0); 0.0 0.0 (r6:1,(r7:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.16710982447)1:0.157745650745)0.54:0.015006570376,(r4:1,r5:1)0.52:0.0143775548344)1:0.143056328962):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 47 13.863424411561827 7.274 935 (r2:1,((r1:1,r0:1)1:0.131677823975,(r3:1,((r5:1,(r6:1,r7:1)1:0.111707622318)0.77:0.0293989748548,r4:1)0.59:0.0176371414861)1:0.166021560049):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.13707184078)1:0.129533142625,(r3:1,r4:1)0.55:0.0172392874191)0.73:0.0274168325109)1:0.125285599431):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 48 13.679658982710329 7.398 933 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.165402556625)1:0.113678396799)0.52:0.0130720815674)0.83:0.0355909451027)1:0.120797063789,r6:1):0); 0.0 0.0 (r1:1,((r2:1,((r4:1,r3:1)0.59:0.0176100793514,(r5:1,(r7:1,r6:1)1:0.158539029367)0.54:0.0159080964702)1:0.123069296722)1:0.154407122962,r0:1):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 49 13.683868718168872 7.456 939 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.141641830136)1:0.150079723347,(r5:1,(r7:1,r6:1)1:0.172499818495)0.46:0.00940976769305)0.63:0.0210321540833):0); 0.20410776171712283 0.12857142857142856 (r1:1,(r0:1,(r2:1,((r5:1,(r6:1,r7:1)1:0.149392785808)0.88:0.0408273657963,(r4:1,r3:1)0.61:0.0243743025247)1:0.127593611736)1:0.154615567875):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 4 13.874923722152921 7.349 945 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.136475639896)1:0.117884501843)0.67:0.0227339924791)0.52:0.0131353426776)1:0.128264851379):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.111552485906)1:0.120507677388)0.38:0.00342933870916)0.81:0.0407816467222)1:0.139369051625,r7:1):0); 0.0 0.0
1000 10000.0 50 13.653957838918272 7.5 936 (r4:1,((r2:1,(r0:1,r1:1)1:0.100377944313)1:0.167127877232,((r5:1,(r7:1,r6:1)1:0.104029400653)0.72:0.0274718206642,r3:1)0.44:0.00903167203035):0); 0.1790338045715902 0.12857142857142856 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.118996000482)1:0.160365096512)0.53:0.0175443096509)0.57:0.018399422954)1:0.129363323282):0); 0.0 0.0
1000 10000.0 51 13.57936738198802 7.406 936 (r7:1,(r6:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.14060645472)1:0.13424521948)0.58:0.0167478573012,(r5:1,r4:1)0.79:0.030363946463)1:0.149572017081):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.157324798091)1:0.106227818401,((r5:1,r4:1)0.84:0.0354440698729,(r7:1,r6:1)1:0.17271322386)0.51:0.012775561585):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 52 13.825659752261974 7.321 936 (r2:1,((r0:1,r1:1)1:0.158355311109,((r3:1,r4:1)0.55:0.0149294058666,((r6:1,r7:1)1:0.156601232428,r5:1)0.62:0.0191634709608)1:0.151095909832):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.158501294495)1:0.136941780983,(r3:1,r4:1)0.38:0.00375646987228)0.95:0.0504145238849)1:0.121764495046):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 53 13.77168574950489 7.375 921 (r5:1,(((r3:1,r4:1)0.45:0.0120604476925,(r2:1,(r0:1,r1:1)1:0.15100876766)1:0.171787821313)0.77:0.0293989748548,(r7:1,r6:1)1:0.120120931241):0); 0.20410776171712283 0.12857142857142856 (r1:1,(r0:1,(r2:1,((r5:1,(r6:1,r7:1)1:0.120201167671)0.95:0.0527204583119,(r3:1,r4:1)0.77:0.0300734876839)1:0.164921226742)1:0.166273932447):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 54 13.767247110824265 7.409 933 (r3:1,(((r2:1,(r0:1,r1:1)1:0.208761949609)1:0.122884688323,(r5:1,(r7:1,r6:1)1:0.156951802107)0.69:0.0268302603676)0.59:0.0174676930404,r4:1):0); 0.20410776171712283 0.12857142857142856 (r4:1,(((r5:1,(r6:1,r7:1)1:0.171522580822)0.53:0.0143812579926,(r2:1,(r1:1,r0:1)1:0.235673141373)1:0.114069764386)0.58:0.019956770593,r3:1):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 55 13.33079730209794 7.528 925 (r5:1,((r6:1,r7:1)1:0.136819223476,((r2:1,(r0:1,r1:1)1:0.126562723308)1:0.181023698078,(r3:1,r4:1)0.72:0.0273434756727)0.48:0.0106711200298):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.79:0.0322069191962,((r0:1,r1:1)1:0.151426372712,r2:1)1:0.144466411657)0.57:0.0167122717671)1:0.152504927553):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 56 13.692501592840246 7.597 940 (r6:1,(r7:1,(r5:1,(r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.193371392981)1:0.149789573918)0.42:0.00651468102119)0.78:0.0342331716422)1:0.135102484857):0); 0.1790338045715902 0.12857142857142856 (r5:1,((r6:1,r7:1)1:0.128992120191,((r2:1,(r1:1,r0:1)1:0.164034586522)1:0.160995954292,(r3:1,r4:1)0.45:0.00857280505169)0.67:0.0239259366825):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 57 13.812311792400852 7.4 941 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.156250785604)1:0.168457075478)0.7:0.0249507211556)0.42:0.00840183009985)1:0.139572150197,r7:1):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.166887088643)1:0.16191739366)0.51:0.0136580655794)0.63:0.0215287915856)1:0.164556924235,r6:1):0); 0.0 0.0
1000 10000.0 58 13.772285570905325 7.459 940 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.1981098746,r2:1)1:0.142419065807)0.48:0.0112182005274)0.44:0.00745781039413)1:0.163989128828):0); 0.0 0.0 (r7:1,((r5:1,((r4:1,r3:1)0.45:0.00911234141269,(r2:1,(r1:1,r0:1)1:0.158291049174)1:0.138380111294)0.85:0.0383397104051)1:0.124362642085,r6:1):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 59 13.63894372211276 7.441 932 (r0:1,((r2:1,(r3:1,((r7:1,r6:1)1:0.139399870069,(r5:1,r4:1)0.49:0.0131353426776)0.67:0.0224785320102)1:0.14177132747)1:0.165756225948,r1:1):0); 0.19443359141936595 0.11428571428571432 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.192146895459)1:0.138688186885)0.58:0.0168814766335,r4:1)0.48:0.0195772243875)1:0.164559389249):0); 0.0 0.0
