2000 10000.0 51 447.572 15.556 1534 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.216791951407)1:0.214583033459)0.83:0.0248779537697)0.64:0.0242804037071)1:0.207708563344,r7:1):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.275233572306,r2:1)1:0.209274482431)0.43:0.0078638836979)0.82:0.028812713396)1:0.234842546444):0); 0.0 0.0
2000 10000.0 52 445.3985 15.2225 1570 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.223705928309)1:0.200858119322)0.93:0.0322485733562)0.56:0.011023807873)1:0.199987936758,r6:1):0); 0.0 0.0 (r7:1,(r6:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.236619635701)1:0.224213171072)0.88:0.0283171250445,(r5:1,r4:1)0.68:0.0187194145979)1:0.23282192405):0); 0.19443359141936595 0.11428571428571432
2000 10000.0 53 446.652 15.375 1566 (r5:1,((r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.222956162576)1:0.186076724556)0.4:0.00467524645213)0.99:0.0495588253308,(r6:1,r7:1)1:0.21233263521):0); 0.1790338045715902 0.12857142857142856 (r6:1,(r7:1,(r5:1,((r4:1,r3:1)0.55:0.010936483046,(r2:1,(r1:1,r0:1)1:0.249348140534)1:0.216729187941)0.99:0.0464661155118)1:0.257522076477):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 54 447.5025 15.379 1528 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.2357792687)0.82:0.0237045326862)0.56:0.0113923162081)1:0.225441917672,(r1:1,r0:1)1:0.221645423693):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r5:1,(r7:1,r6:1)1:0.268569406249)0.95:0.0377661284421,(r3:1,r4:1)0.63:0.0165783200144)1:0.242691077036)1:0.244011295752):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 55 448.968 15.516 1558 (r3:1,((r2:1,(r1:1,r0:1)1:0.197610249309)1:0.232747240605,((r5:1,(r6:1,r7:1)1:0.208077703252)0.92:0.0309268665505,r4:1)0.65:0.0165445722105):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.241435587276,(r3:1,((r5:1,(r6:1,r7:1)1:0.20261231364)0.91:0.0299043610292,r4:1)0.86:0.0265866935785)1:0.220270865734):0); 0.0 0.0
2000 10000.0 56 447.668 15.4625 1550 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.183101471043)0.88:0.0301539943257)0.96:0.0356953669453)1:0.179215441242,r2:1)1:0.189060856626):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.225541829722)0.96:0.0363117407719)0.95:0.0358759852478)1:0.205954640181,r2:1)1:0.231984807379):0); 0.0 0.0
2000 10000.0 57 446.662 15.53 1564 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.217723483845)0.64:0.0162482320098)0.97:0.0375961796828)1:0.209370767069,r2:1)1:0.201087240642):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.255093032683,((r3:1,(r2:1,(r0:1,r1:1)1:0.209700481058)1:0.223442037676)0.71:0.0182310679437,r4:1)0.95:0.0369956665491):0); 0.0 0.0
2000 10000.0 58 448.192 15.5795 1560 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.198341243494)1:0.214815321497,r3:1)0.47:0.00693721700566)0.87:0.0266834423028)1:0.219962708516):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.223770628528)1:0.238963770594)0.53:0.00980468867784)0.87:0.0262595754374)1:0.251881197675):0); 0.1790338045715902 0.12857142857142856
2000 10000.0 59 448.2345 15.586 1508 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.234451625072)1:0.206601960501)0.58:0.0170527883827,r4:1)0.96:0.0359651486935)1:0.206970692069):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.245239283388)1:0.247879289913,(r3:1,r4:1)0.63:0.0155671502374)0.87:0.0265878868419)1:0.252259242609):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 5 447.287 15.6125 1522 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.205864905004)0.75:0.0195871332753)0.63:0.0157827319062,r3:1)1:0.209717407549)1:0.228216366326):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.250999656917)1:0.210320811655)0.6:0.0215719617683,((r6:1,r7:1)1:0.247720057972,r5:1)0.62:0.01359013551):0); 0.0 0.0
2000 10000.0 60 446.534 15.308 1523 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.239963375223,r2:1)1:0.198912704736)0.78:0.0212979976789)0.71:0.0190139578679)1:0.203473219566):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.210047316048)0.98:0.0422179700126)0.72:0.0194839819785,r3:1)1:0.230788908751)1:0.231860423173):0); 0.0 0.0
