1000 10000.0 39 13.197828392041302 10.112 922 (r5:1,(((r7:1,r6:1)1:0.167792255509,(r3:1,(r2:1,(r0:1,r1:1)1:0.163989128828)1:0.160068505317)0.51:0.0157324999351)0.4:0.00576081743479,r4:1):0); 0.19443359141936595 0.11428571428571432 (r4:1,((r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.171824793816)1:0.164627364014)0.85:0.0406360637575)0.43:0.00673490435892,(r6:1,r7:1)1:0.146506551488):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 3 13.12563169945017 10.239 940 (r1:1,(r0:1,(((r6:1,r7:1)1:0.133578965232,(r3:1,(r4:1,r5:1)0.56:0.0168240506801)0.46:0.00877968765205)1:0.131962764852,r2:1)1:0.133731212787):0); 0.34833084106647516 0.2857142857142857 (r4:1,((r2:1,(r0:1,r1:1)1:0.116346262934)1:0.136776711891,(r3:1,((r6:1,r7:1)1:0.135354761656,r5:1)0.67:0.0233433379201)0.49:0.0110460218749):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 40 13.168310139531352 10.186 907 (r5:1,((r4:1,(r6:1,r7:1)1:0.170720775151)0.42:0.00613767818921,(r3:1,(r2:1,(r1:1,r0:1)1:0.168944891183)1:0.129330154558)0.46:0.0122289822846):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.141282575823,(r4:1,((r5:1,(r6:1,r7:1)1:0.138196158545)0.78:0.0311486705712,r3:1)0.47:0.0108929190225)1:0.154469934052):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 41 12.93982630593985 10.194 928 (r2:1,((r1:1,r0:1)1:0.1485718648,(r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.157302494728)0.35:0.000874508144933)0.65:0.021372290141)1:0.158969966263):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r3:1,(r5:1,(r4:1,(r7:1,r6:1)1:0.14924068633)0.52:0.0147959410567)0.46:0.0125454830655)1:0.13719171882,(r1:1,r0:1)1:0.109977266339):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 42 13.051818958238476 10.349 916 (r6:1,(((r5:1,r4:1)0.44:0.00840183009985,(r3:1,(r2:1,(r0:1,r1:1)1:0.138883207696)1:0.146748076896)0.4:0.0047565492108)1:0.136389762443,r7:1):0); 0.19443359141936595 0.11428571428571432 (r2:1,(((r6:1,r7:1)1:0.156844631532,(r3:1,(r5:1,r4:1)0.54:0.0146560575695)0.43:0.00843850716426)1:0.185621353765,(r1:1,r0:1)1:0.166379336397):0); 0.34833084106647516 0.2857142857142857
1000 10000.0 43 12.94392745958839 10.345 939 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.133731212787)1:0.138538914355)0.59:0.0179761245402)0.5:0.0144647512867)1:0.116073708179,r6:1):0); 0.0 0.0 (r4:1,((r5:1,(r7:1,r6:1)1:0.115842576487)0.37:0.0025667365221,(r3:1,(r2:1,(r0:1,r1:1)1:0.165329683972)1:0.14348976768)0.5:0.0134545298171):0); 0.0 0.0
1000 10000.0 44 13.187087279412776 10.271 937 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.154500391319)1:0.103655343584)0.9:0.0435591147519,r4:1)0.46:0.0125661367045)1:0.106693404892):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.163466404667)1:0.145613964928,r3:1)0.48:0.0141406046502)0.55:0.0189329359818)1:0.132030619886):0); 0.0 0.0
1000 10000.0 45 13.302514127805557 10.147 926 (r0:1,(r1:1,(r2:1,(r3:1,((r6:1,r7:1)1:0.142419065807,(r4:1,r5:1)0.49:0.0114286958236)0.55:0.0172559228526)1:0.135531393291)1:0.154850225151):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r5:1,(r7:1,r6:1)1:0.135803416735)0.82:0.0337239357253,(r4:1,(r2:1,(r0:1,r1:1)1:0.169242594013)1:0.166937421691)0.52:0.014185449643):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 46 13.270579067325892 9.943 935 (r7:1,(r6:1,(r4:1,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.165756225948)1:0.124439129391)0.78:0.0328342238531)0.4:0.00500752173062)1:0.135788826682):0); 0.17556643393915275 0.11428571428571432 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.175065601653)1:0.156500403287)0.75:0.0323886651913)0.45:0.00877424984022)1:0.147383505433,r6:1):0); 0.0 0.0
1000 10000.0 47 13.246421227158452 10.351 924 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.108696075788)0.9:0.0414309461274)0.53:0.0205221668219)1:0.130610018214,r2:1)1:0.144061883175):0); 0.0 0.0 (r4:1,((r3:1,(r5:1,(r7:1,r6:1)1:0.148481469822)0.61:0.0193048684834)0.54:0.018767461201,(r2:1,(r1:1,r0:1)1:0.147920130077)1:0.135856230064):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 48 13.206270696667676 10.034 928 (r2:1,((r1:1,r0:1)1:0.128264851379,(r4:1,((r7:1,r6:1)1:0.154150679827,(r3:1,r5:1)0.73:0.0319098404907)0.71:0.0250360781613)1:0.154587838304):0); 0.29912715116429606 0.24285714285714288 (r0:1,(r1:1,(r2:1,(r4:1,(r5:1,((r6:1,r7:1)1:0.175595759505,r3:1)0.63:0.0221161609481)0.36:0.00137409846423)1:0.160887736524)1:0.157882885903):0); 0.29942994635879155 0.24285714285714288
1000 10000.0 49 13.183696837375608 10.213 940 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.102036044511)1:0.142419065807)0.71:0.0259754864033,r4:1)0.7:0.0247800289985)1:0.112042799126):0); 0.0 0.0 (r2:1,((r0:1,r1:1)1:0.12916627765,((r4:1,(r5:1,(r7:1,r6:1)1:0.116234328517)0.89:0.0419595914093)0.91:0.0429866444316,r3:1)1:0.145538461116):0); 0.0 0.0
1000 10000.0 4 13.275632511252825 10.058 926 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.172499818495)1:0.116410351844)0.75:0.028028172721)0.49:0.0127558360317)1:0.134073854558,r6:1):0); 0.0 0.0 (r4:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.152000911891)0.64:0.022481617368,((r0:1,r1:1)1:0.168610245706,r2:1)1:0.153044626199)0.34:0):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 50 13.140340079997147 10.204 933 (r4:1,((r5:1,(r6:1,r7:1)1:0.0970699690838)0.69:0.0268943978785,((r2:1,(r1:1,r0:1)1:0.136132174325)1:0.131037003703,r3:1)0.93:0.0452997592297):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.141561681081)1:0.16170909948)0.59:0.0177649152242)0.78:0.0332404327633,(r7:1,r6:1)1:0.109996079361):0); 0.0 0.0
1000 10000.0 51 13.16392354342792 10.228 933 (r1:1,(r0:1,(r2:1,(r5:1,((r3:1,r4:1)0.48:0.0106711200298,(r6:1,r7:1)1:0.156557419858)0.41:0.00638899761752)1:0.145447404699)1:0.144408083628):0); 0.3340250044126062 0.30000000000000004 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.129552472718)1:0.156102212079)0.52:0.0140774856988)0.39:0.00391993561739)1:0.149312043733):0); 0.0 0.0
1000 10000.0 52 12.992268681258993 10.267 941 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.133046281253)1:0.155171013711,((r6:1,r7:1)1:0.153451623525,r5:1)0.56:0.0168748494914)0.44:0.00970394096323):0); 0.20410776171712283 0.12857142857142856 (r2:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.140272592537)0.42:0.00713593686545)0.69:0.0241115192885)1:0.165119239372,(r1:1,r0:1)1:0.123180657659):0); 0.0 0.0
1000 10000.0 53 13.06242938678312 10.329 930 (r0:1,(r1:1,(r2:1,(r3:1,((r6:1,r7:1)1:0.147833264197,(r4:1,r5:1)0.41:0.00557244030322)0.53:0.0175100524601)1:0.127413425189)1:0.141987193634):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r4:1,(r7:1,r6:1)1:0.136768689074)0.43:0.00736580186227,((r2:1,(r1:1,r0:1)1:0.150964272458)1:0.15681106571,r3:1)0.63:0.0204082816532):0); 0.17556643393915275 0.11428571428571432
