1000 1000.0 42 8.149692857142856 1.527 766 (r4:1,(r5:1,(((r1:1,r0:1)0.57:0.0173194492002,(r2:1,r3:1)1:0.250663505597)0.95:0.0529179901146,(r7:1,r6:1)0.56:0.0175100524601)1:0.229941077762):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.288093341222,((r4:1,r5:1)1:0.271681731105,(r6:1,r7:1)0.42:0.00751802488495)0.83:0.0461803417186)0.4:0.00663803514765):0); 0.0 0.0
1000 1000.0 43 8.326891666666668 1.549 777 (r5:1,(r4:1,(r7:1,(r6:1,((r2:1,r3:1)1:0.289431854176,(r1:1,r0:1)0.42:0.00632616183881)0.95:0.0492710490068)0.42:0.00840183009985)1:0.233057669037):0); 0.20088165898146854 0.11428571428571432 (r7:1,((r5:1,r4:1)1:0.250115875988,(r6:1,((r3:1,r2:1)1:0.294984336137,(r0:1,r1:1)0.42:0.00777709687827)0.91:0.0551028801668)0.58:0.0220079305038):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 44 8.174205952380952 1.534 760 (r2:1,(((r1:1,r0:1)0.9:0.0433852168295,((r6:1,r7:1)0.88:0.0402602142864,(r4:1,r5:1)1:0.243469229963)0.73:0.0262211590937)1:0.261066405752,r3:1):0); 0.0 0.0 (r5:1,(r4:1,(((r0:1,r1:1)0.89:0.0534204325536,(r3:1,r2:1)1:0.31051604549)0.63:0.0263435267078,(r6:1,r7:1)0.9:0.0548766102258)1:0.264918862573):0); 0.0 0.0
1000 1000.0 45 8.074071428571429 1.531 744 (r6:1,(r7:1,(((r2:1,r3:1)1:0.234193387501,(r1:1,r0:1)0.74:0.0284349335192)0.79:0.0321999618601,(r4:1,r5:1)1:0.27675300192)0.91:0.0435808541186):0); 0.0 0.0 (r3:1,(((r1:1,r0:1)0.61:0.0248316019743,((r4:1,r5:1)1:0.265580539841,(r7:1,r6:1)0.83:0.0452378819892)0.58:0.0261128886761)1:0.292076764049,r2:1):0); 0.0 0.0
1000 1000.0 46 8.438459523809524 1.478 753 (r7:1,(r6:1,((r4:1,r5:1)1:0.234666984479,((r2:1,r3:1)1:0.243947241445,(r0:1,r1:1)0.78:0.0319098404907)0.82:0.0359792192291)0.75:0.0338455747382):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,r5:1)1:0.270416376578,((r2:1,r3:1)1:0.279324313814,(r1:1,r0:1)0.75:0.0385728735902)0.57:0.0227150610383)0.79:0.0456127023149):0); 0.0 0.0
1000 1000.0 47 8.349921428571427 1.5 745 (r4:1,(r5:1,((r7:1,r6:1)0.84:0.0346209188359,((r2:1,r3:1)1:0.242752640896,(r1:1,r0:1)0.44:0.00745781039413)0.91:0.0425053223601)1:0.251626664834):0); 0.0 0.0 (r3:1,((r0:1,(r1:1,((r5:1,r4:1)1:0.264760240376,(r6:1,r7:1)0.54:0.0215235333047)0.45:0.0111403269523)0.4:0.00567989712845)1:0.277631736598,r2:1):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 48 8.435069047619047 1.501 771 (r6:1,(r7:1,((r0:1,(r1:1,(r2:1,r3:1)1:0.213945226671)0.51:0.0150350392975)1:0.0762619848336,(r4:1,r5:1)1:0.283694031274)0.43:0.00689182603792):0); 0.20088165898146854 0.11428571428571432 (r4:1,((r6:1,(r7:1,(r0:1,(r1:1,(r2:1,r3:1)1:0.279633739269)0.52:0.0186432218959)0.98:0.0755407304581)0.43:0.00890516050684)1:0.327035861658,r5:1):0); 0.3091980720371233 0.22857142857142854
1000 1000.0 49 8.48352380952381 1.54 776 (r0:1,(((r2:1,r3:1)1:0.27453214968,((r4:1,r5:1)1:0.242036564962,(r6:1,r7:1)0.68:0.0305570525754)0.94:0.0498615420856)0.38:0.00312676134926,r1:1):0); 0.0 0.0 (r3:1,(r2:1,((r0:1,r1:1)0.48:0.0130775962073,((r5:1,r4:1)1:0.256641949865,(r6:1,r7:1)0.76:0.0394859889775)0.89:0.0543006510025)1:0.285075554685):0); 0.0 0.0
1000 1000.0 4 8.547966666666667 1.511 745 (r6:1,(r7:1,((r5:1,r4:1)1:0.211026328219,((r0:1,(r3:1,r2:1)1:0.224018059459)0.55:0.0157959295758,r1:1)0.94:0.0471743374537)0.69:0.0245880351417):0); 0.20088165898146854 0.11428571428571432 (r1:1,((r0:1,(r3:1,r2:1)1:0.263923216896)0.41:0.00933065248311,((r6:1,r7:1)0.68:0.0311551677798,(r4:1,r5:1)1:0.25280081461)0.79:0.0411605324969):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 50 8.273833333333334 1.527 765 (r4:1,(((r6:1,r7:1)0.79:0.0305570525754,((r1:1,r0:1)0.79:0.0313298501409,(r3:1,r2:1)1:0.256214382647)0.98:0.0577682842063)1:0.237275784725,r5:1):0); 0.0 0.0 (r4:1,(((r6:1,r7:1)0.94:0.0613392009297,((r0:1,r1:1)0.62:0.0251811866302,(r2:1,r3:1)1:0.284939165362)0.95:0.0651346971123)1:0.271920651188,r5:1):0); 0.0 0.0
