1000 1000.0 43 12.084289951594673 3.769 942 (r2:1,((r0:1,(r1:1,((r6:1,r7:1)0.85:0.0375338250611,(r4:1,r5:1)1:0.290934107838)0.95:0.0483531967166)0.43:0.00689182603792)1:0.234572247138,r3:1):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,((r7:1,r6:1)0.9:0.0434633342249,((r0:1,r1:1)0.74:0.0278703284634,(r2:1,r3:1)1:0.244990697047)0.9:0.0413648335818)1:0.267537132327):0); 0.0 0.0
1000 1000.0 44 12.144196767280707 3.906 948 (r0:1,(r1:1,((r3:1,r2:1)1:0.229234114141,((r4:1,r5:1)1:0.23348341232,(r7:1,r6:1)0.9:0.0416262014243)0.83:0.0341362583311)0.87:0.0385066824196):0); 0.0 0.0 (r1:1,(r0:1,((r3:1,r2:1)1:0.259658081502,((r4:1,r5:1)1:0.225081488267,(r7:1,r6:1)0.89:0.0406904069156)0.69:0.0261059002064)0.91:0.0435728466301):0); 0.0 0.0
1000 1000.0 45 12.354056282080904 3.82 956 (r7:1,(r6:1,((r1:1,(r0:1,(r2:1,r3:1)1:0.256408012235)0.51:0.0133251500237)0.97:0.0532142717818,(r4:1,r5:1)1:0.231356506166)0.85:0.037339367112):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,((r7:1,r6:1)0.66:0.0268633174766,((r1:1,r0:1)0.69:0.0261884031822,(r2:1,r3:1)1:0.254408730973)0.97:0.0556415133018)1:0.224233685707):0); 0.0 0.0
1000 1000.0 46 11.88161481136533 3.939 956 (r4:1,(r5:1,(((r2:1,r3:1)1:0.24610112525,(r0:1,r1:1)0.84:0.0348148488278)0.98:0.0564791769823,(r6:1,r7:1)0.52:0.0173194492002)1:0.271824455718):0); 0.0 0.0 (r2:1,(((r1:1,r0:1)0.71:0.0272075850579,(r6:1,(r7:1,(r5:1,r4:1)1:0.255773403998)0.48:0.011706931628)0.91:0.0431018081785)1:0.266868186821,r3:1):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 47 11.804596126929486 3.961 954 (r3:1,(((r1:1,r0:1)0.8:0.0359792192291,((r6:1,r7:1)0.68:0.0228617471902,(r5:1,r4:1)1:0.261309625989)0.94:0.0482876680641)1:0.227821684528,r2:1):0); 0.0 0.0 (r2:1,(r3:1,((r0:1,r1:1)0.64:0.0239880543003,((r7:1,r6:1)0.7:0.0304905763326,(r4:1,r5:1)1:0.247712848698)0.94:0.0503918006447)1:0.238841994384):0); 0.0 0.0
1000 1000.0 48 12.031571208375388 3.878 959 (r1:1,(((r3:1,r2:1)1:0.207101585792,((r4:1,r5:1)1:0.250182273634,(r7:1,r6:1)0.48:0.0110498361866)0.84:0.0365619132341)0.78:0.0324901674245,r0:1):0); 0.0 0.0 (r6:1,((r5:1,r4:1)1:0.218353405126,(((r0:1,r1:1)0.96:0.051258872757,(r2:1,r3:1)1:0.191916371847)0.96:0.0526213310877,r7:1)0.54:0.0171372504054):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 49 12.06050795608928 3.854 947 (r7:1,(r6:1,((r4:1,r5:1)1:0.246340732295,(r1:1,(r0:1,(r2:1,r3:1)1:0.242561637171)0.5:0.0188452934787)0.93:0.0457353941745)0.88:0.0396753619449):0); 0.20088165898146854 0.11428571428571432 (r3:1,(r2:1,((r1:1,r0:1)0.74:0.0319690877266,((r6:1,r7:1)0.78:0.0313680697654,(r5:1,r4:1)1:0.264811381168)0.94:0.0488033039969)1:0.226310005975):0); 0.0 0.0
1000 1000.0 4 12.140818180906379 3.769 967 (r0:1,(r1:1,((r3:1,r2:1)1:0.206640862449,((r5:1,r4:1)1:0.224768247041,(r7:1,r6:1)0.8:0.0315231428834)0.86:0.0368533876107)0.96:0.0498615420856):0); 0.0 0.0 (r2:1,(r3:1,((r1:1,r0:1)0.99:0.072681845272,((r7:1,r6:1)0.71:0.0287717261093,(r5:1,r4:1)1:0.266419939708)0.84:0.0372622101094)1:0.220522188189):0); 0.0 0.0
1000 1000.0 50 11.955591873273075 3.831 943 (r7:1,((r5:1,r4:1)1:0.229658232335,(r6:1,((r3:1,r2:1)1:0.269369261752,(r0:1,r1:1)0.92:0.0451473318229)0.99:0.067940906087)0.41:0.00576081743479):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,((r6:1,(r7:1,(r5:1,r4:1)1:0.260305829411)0.41:0.00618300989707)0.98:0.0605618179515,(r2:1,r3:1)1:0.239211887204)0.82:0.0367643908533):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 51 11.85203571588165 3.999 944 (r2:1,(r3:1,((r1:1,r0:1)0.63:0.0238204281188,((r6:1,r7:1)0.89:0.0396753619449,(r4:1,r5:1)1:0.227351317633)0.93:0.0463238025469)1:0.288681572785):0); 0.0 0.0 (r3:1,(r2:1,(r0:1,(r1:1,((r4:1,r5:1)1:0.224150682538,(r7:1,r6:1)0.81:0.0341959324027)0.96:0.0513071121724)0.39:0.00495688533537)1:0.268272092326):0); 0.20088165898146854 0.11428571428571432
