1000 100000.0 40 13.618224701302886 63.841 888 (r1:1,(r0:1,(r2:1,(r3:1,(r5:1,((r6:1,r7:1)1:0.143715802535,r4:1)0.75:0.0284349335192)0.67:0.0232451092804)1:0.119360828168)1:0.103696898571):0); 0.17556643393915275 0.11428571428571432 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.214687892877)1:0.201586865934)0.43:0.00835985473938)0.7:0.0259327668783)1:0.208023669767,r6:1):0); 0.0 0.0
1000 100000.0 41 13.665922383976683 63.574 867 (r1:1,(r0:1,(r2:1,(((r6:1,r7:1)1:0.133816862224,(r4:1,r5:1)0.55:0.0156056527224)0.96:0.0509778701393,r3:1)1:0.152840349873)1:0.116410351844):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.241797986886)1:0.209177471672,(r4:1,(r5:1,(r7:1,r6:1)1:0.20507598893)0.55:0.0150350392975)0.59:0.0176371414861):0); 0.0 0.0
1000 100000.0 42 13.57918591060222 63.91 862 (r2:1,((r0:1,r1:1)1:0.167526451228,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.124863487555)0.84:0.0357850633213)0.74:0.0271723746371)1:0.115779237907):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.241034919318)1:0.21892232837)0.85:0.0357634927694)0.77:0.0297848517648,r5:1)1:0.230035377352):0); 0.0 0.0
1000 100000.0 43 13.659324789358955 64.131 881 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.139572150197,r5:1)0.42:0.00821295485139)0.66:0.0244387320668)1:0.165800443409)1:0.144754403978):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.237988458469)1:0.227821684528)0.36:0.00149962537477)0.81:0.0332644609204)1:0.199206566357,r7:1):0); 0.0 0.0
1000 100000.0 44 13.689337198270207 63.007 865 (r4:1,((r6:1,r7:1)1:0.161872725921,(r5:1,((r2:1,(r0:1,r1:1)1:0.16504901234)1:0.144148422053,r3:1)0.5:0.0150984247126)0.45:0.0131353426776):0); 0.17556643393915275 0.11428571428571432 (r1:1,(r0:1,(r2:1,((r5:1,(r4:1,(r7:1,r6:1)1:0.225518997827)0.58:0.0274718206642)0.83:0.0342116345392,r3:1)1:0.215663480048)1:0.239129793956):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 45 13.61930264741756 63.236 866 (r3:1,((r2:1,(r0:1,r1:1)1:0.121135301573)1:0.163150850338,((r5:1,(r6:1,r7:1)1:0.178572350105)0.43:0.00689182603792,r4:1)0.77:0.0297419691987):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.229658232335,((r4:1,(r5:1,(r6:1,r7:1)1:0.229281229503)0.6:0.0224785320102)0.74:0.0276857655956,r3:1)1:0.23348341232):0); 0.0 0.0
1000 100000.0 46 13.601109154324085 63.889 879 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.136132174325)1:0.142851124573)0.58:0.0172982733026)0.71:0.0253562318378)1:0.156601232428):0); 0.0 0.0 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.233057669037)0.47:0.00972495665144)0.76:0.0288847038226)1:0.194053443706,r2:1)1:0.280316656453):0); 0.0 0.0
1000 100000.0 47 13.71353940922223 63.335 870 (r7:1,(r6:1,(r5:1,((r4:1,(r2:1,(r0:1,r1:1)1:0.120120931241)1:0.160508259062)0.39:0.0043384015986,r3:1)0.82:0.0344270264456)1:0.162930367479):0); 0.1790338045715902 0.12857142857142856 (r1:1,(r0:1,(r2:1,(r4:1,(r3:1,((r6:1,r7:1)1:0.257182905725,r5:1)0.76:0.0288204385355)0.41:0.00567708988419)1:0.251385788041)1:0.221770867502):0); 0.1790338045715902 0.12857142857142856
1000 100000.0 48 13.641770593732133 63.58 884 (r5:1,(((r3:1,r4:1)0.4:0.00467290569939,(r2:1,(r0:1,r1:1)1:0.16011247199)1:0.13110818568)0.5:0.0120604476925,(r6:1,r7:1)1:0.14822422009):0); 0.20410776171712283 0.12857142857142856 (r7:1,(((r5:1,(r3:1,r4:1)0.67:0.0226318004602)0.41:0.00626333000818,(r2:1,(r0:1,r1:1)1:0.241797986886)1:0.241797986886)1:0.204749004541,r6:1):0); 0.362141354931442 0.30000000000000004
1000 100000.0 49 13.659062647480189 63.432 888 (r5:1,((r6:1,r7:1)1:0.139572150197,(r3:1,((r2:1,(r0:1,r1:1)1:0.136819223476)1:0.130183214964,r4:1)0.54:0.0161131381431)0.54:0.0148449071551):0); 0.1790338045715902 0.12857142857142856 (r4:1,((r2:1,(r1:1,r0:1)1:0.228527649965)1:0.176693070837,(r3:1,(r5:1,(r7:1,r6:1)1:0.210980065121)0.79:0.0305004145425)0.53:0.0137470731556):0); 0.1790338045715902 0.12857142857142856
