1000 1000000.0 43 12.116898171190648 2137.507 78 (r3:1,(r2:1,(((r4:1,r5:1)1:0.204570230166,(r6:1,r7:1)1:0.0699477299594)0.64:0.0204690581031,(r1:1,r0:1)0.95:0.0498615420856)1:0.30582773162):0); 0.0 0.0 (r6:1,(((r5:1,r4:1)1:5.0273831514,((r2:1,r3:1)1:4.71153020198,(r0:1,r1:1)1:0.711038548563)1:0.72641164148)1:0.783797902846,r7:1):0); 0.0 0.0
1000 1000000.0 44 12.124532664084173 2135.727 75 (r2:1,(r3:1,(((r5:1,r4:1)1:0.255488605429,(r7:1,r6:1)0.75:0.0284349335192)0.78:0.0299778460721,(r1:1,r0:1)0.48:0.0102925472447)1:0.273300470747):0); 0.0 0.0 (r7:1,(((r5:1,r4:1)1:4.97181330024,((r0:1,r1:1)1:0.644999437627,(r3:1,r2:1)1:6.01778185543)1:0.723318058193)1:0.782568142494,r6:1):0); 0.0 0.0
1000 1000000.0 45 12.115853911748822 2133.27 74 (r4:1,(r5:1,((r6:1,r7:1)0.89:0.0400652254976,((r2:1,r3:1)1:0.240605949553,(r1:1,r0:1)0.92:0.0437765296891)0.98:0.0595559497931)1:0.271087264384):0); 0.0 0.0 (r6:1,(((r5:1,r4:1)1:5.1487440084,((r0:1,r1:1)1:0.720234015656,(r3:1,r2:1)1:5.11699531009)1:0.759085282052)1:0.665923721949,r7:1):0); 0.0 0.0
1000 1000000.0 46 12.119460097805687 2134.308 75 (r2:1,(((r1:1,r0:1)0.9:0.0414309461274,((r5:1,r4:1)1:0.23585195914,(r6:1,r7:1)0.9:0.0410405498703)0.98:0.056281000208)1:0.280217494373,r3:1):0); 0.0 0.0 (r6:1,(r7:1,(((r3:1,r2:1)1:5.74951786883,(r0:1,r1:1)1:0.713711836388)1:0.731459215777,(r5:1,r4:1)1:5.81014249065)1:0.679504404156):0); 0.0 0.0
1000 1000000.0 47 12.121182969239996 2138.637 71 (r3:1,(r2:1,((r1:1,r0:1)0.63:0.0196090895823,((r4:1,r5:1)1:0.223830600465,(r6:1,r7:1)0.44:0.00915768803455)0.97:0.0550927636091)1:0.258637451436):0); 0.0 0.0 (r5:1,(((r6:1,r7:1)1:0.739667196195,((r3:1,r2:1)1:6.50328967121,(r1:1,r0:1)1:0.773189888233)1:0.74438789733)1:5.1487440084,r4:1):0); 0.0 0.0
1000 1000000.0 48 12.114275128601914 2141.796 73 (r4:1,(r5:1,(((r2:1,r3:1)1:0.257425183134,(r0:1,r1:1)0.8:0.0313298501409)0.94:0.0475016589846,(r7:1,r6:1)0.94:0.0473052532096)1:0.227351317633):0); 0.0 0.0 (r4:1,(((r7:1,r6:1)1:0.698531279211,((r1:1,r0:1)1:0.669941992196,(r3:1,r2:1)1:5.40467738254)1:0.732238032016)1:4.77606872312,r5:1):0); 0.0 0.0
1000 1000000.0 49 12.1238636439331 2129.905 76 (r2:1,(((r1:1,r0:1)0.62:0.0196090895823,((r7:1,r6:1)0.84:0.0355909451027,(r5:1,r4:1)1:0.26643096385)0.98:0.0592577835135)1:0.21380603814,r3:1):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,r5:1)1:6.0978245631,((r3:1,r2:1)1:4.99921227443,(r0:1,r1:1)1:0.773189888233)1:0.700416293907)1:0.761088086647):0); 0.0 0.0
1000 1000000.0 4 12.119069994301324 2141.411 82 (r2:1,(r3:1,((r0:1,r1:1)0.8:0.0315231428834,((r5:1,r4:1)1:0.254280146068,(r7:1,r6:1)0.51:0.0138947883188)0.89:0.0393830639938)1:0.268633877481):0); 0.0 0.0 (r7:1,(r6:1,(((r3:1,r2:1)1:5.0273831514,(r0:1,r1:1)1:0.716775798953)1:0.721389417287,(r4:1,r5:1)1:5.40467738254)1:0.638239048955):0); 0.0 0.0
1000 1000000.0 50 12.13067468675815 2133.311 72 (r5:1,(r4:1,(((r2:1,r3:1)1:0.263257520445,(r0:1,r1:1)0.52:0.0129455713515)0.92:0.0446575438913,(r7:1,r6:1)0.77:0.0292060922233)1:0.280465418014):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,r5:1)1:6.0978245631,((r3:1,r2:1)1:5.11699531009,(r1:1,r0:1)1:0.665559224041)1:0.724090557266)1:0.578365647907):0); 0.0 0.0
1000 1000000.0 51 12.130662426962191 2134.339 71 (r4:1,(r5:1,((r6:1,r7:1)0.64:0.0230534098645,((r2:1,r3:1)1:0.256698526932,(r1:1,r0:1)0.67:0.0226701212435)0.79:0.0309433767062)1:0.269614510068):0); 0.0 0.0 (r5:1,(((r7:1,r6:1)1:0.722546155415,((r3:1,r2:1)1:6.50328967121,(r0:1,r1:1)1:0.73418773043)1:0.720234015656)1:5.58699893933,r4:1):0); 0.0 0.0
